,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
GLCM.csv,0.8677249,0.8186275,0.75,1.0,0.73333335,0.6666667,0.71428573,0.974359,0.96666664,0.98333335
GLCM_HOG_2cells.csv,0.962963,1.0,1.0,0.78571427,1.0,0.9861111,0.95238096,0.95238096,0.73333335,1.0
GLCM_HOG_3cells.csv,0.962963,0.9166667,1.0,0.78571427,1.0,0.9861111,0.9327731,0.8095238,0.73333335,0.71428573
HOG_2cells.csv,0.93915343,1.0,1.0,0.76984125,1.0,0.9861111,0.9327731,0.95238096,0.8888889,1.0
HOG_3cells.csv,0.91534394,1.0,1.0,0.76984125,1.0,0.9861111,0.9327731,1.0,0.90555555,0.98333335
LBP.csv,0.91534394,0.627451,0.71550673,0.7873016,0.8703704,0.6333333,0.64705884,0.8250377,0.82222223,0.76666665
LBP_GLCM.csv,0.8888889,0.98039216,0.75,0.96825397,0.73333335,0.9166667,0.7619048,0.974359,0.73333335,0.95238096
LBP_GLCM_HOG_2cells.csv,0.962963,1.0,1.0,0.8015873,1.0,0.9861111,0.95238096,0.95238096,0.9166667,1.0
LBP_GLCM_HOG_3cells.csv,0.8518519,1.0,0.9166667,0.78571427,1.0,0.9861111,0.9327731,1.0,0.98333335,0.95238096
LBP_HOG_2cells.csv,0.95238096,1.0,1.0,0.76984125,1.0,0.9861111,0.9327731,0.95238096,0.9388889,1.0
LBP_HOG_3cells.csv,0.91534394,1.0,1.0,0.76984125,1.0,0.9861111,0.9327731,1.0,0.93333334,1.0
